Vernier Format 2
Sin título.cmbl 13/11/2025 15:03:15 .
Último
Tiempo	Campo magnético	Corriente
t	B	I
s	mT	A

0.589	-0.256881944704	-0.00652313232422
0.59	-0.299940338817	-0.00621795654297
0.591	-0.339308013434	-0.00593185424805
0.592	-0.370556105161	-0.0056266784668
0.593	-0.405987012316	-0.0056266784668
0.594	-0.441171871506	-0.00532150268555
0.595	-0.472666011199	-0.0050163269043
0.596	-0.503914102927	-0.00471115112305
0.597	-0.527534707697	-0.0044059753418
0.598	-0.555092079929	-0.0037956237793
0.599	-0.570593101809	-0.00349044799805
0.6	-0.590276939118	-0.00288009643555
0.601	-0.606024008965	-0.00288009643555
0.602	-0.621771078811	-0.0025749206543
0.603	-0.629644613735	-0.0019645690918
0.604	-0.645145635615	-0.00165939331055
0.605	-0.645145635615	-0.00104904174805
0.606	-0.649082403077	-0.000762939453125
0.607	-0.649082403077	-0.000457763671875
0.608	-0.645145635615	-0.000152587890625
0.609	-0.64145491612	0.000152587890625
0.61	-0.633581381197	0.000457763671875
0.611	-0.621771078811	0.000762939453125
0.612	-0.606024008965	0.00106811523438
0.613	-0.590276939118	0.00137329101562
0.614	-0.570593101809	0.00167846679688
0.615	-0.551155312467	0.00228881835938
0.616	-0.523597940235	0.00289916992188
0.617	-0.503914102927	0.00289916992188
0.618	-0.464792476276	0.00320434570312
0.619	-0.437235104044	0.00350952148438
0.62	-0.402050244855	0.00381469726562
0.621	-0.374492872623	0.00411987304688
0.622	-0.335371245972	0.00442504882812
0.623	-0.296003571355	0.00442504882812
0.624	-0.252945177243	0.00471115112305
0.625	-0.213577502625	0.00471115112305
0.626	-0.174455875975	0.0050163269043
0.627	-0.0959665747068	0.00532150268555
0.628	-0.0841562723217	0.00532150268555
0.629	0.00614333133126	0.00532150268555
0.63	-0.00173020359216	0.00532150268555
0.631	0.104070421941	0.0056266784668
0.632	0.0883233520944	0.0056266784668
0.633	0.139501329097	0.0056266784668
0.634	0.221927397826	0.0056266784668
0.635	0.343475093207	0.00532150268555
0.636	0.280732861786	0.00532150268555
0.637	0.339538325745	0.00532150268555
0.638	0.437711464321	0.00532150268555
0.639	0.551385624778	0.00532150268555
0.64	0.457149253663	0.0050163269043
0.641	0.516200765589	0.00471115112305
0.642	0.598380786352	0.00442504882812
0.643	0.739858367007	0.00411987304688
0.644	0.637748460969	0.00411987304688
0.645	0.684743622543	0.00381469726562
0.646	0.731984832084	0.00381469726562
0.647	0.818101620309	0.00320434570312
0.648	0.947768898579	0.00289916992188
0.649	0.814410900814	0.00289916992188
0.65	0.853532527464	0.00228881835938
0.651	0.892654154115	0.00198364257812
0.652	0.994764060153	0.00167846679688
0.653	1.07325336142	0.00137329101562
0.654	0.935958596194	0.00106811523438
0.655	0.967206687921	0.000457763671875
0.656	1.02232143239	0.000152587890625
0.657	1.14386912777	-0.000152587890625
0.658	0.98689052523	-0.000457763671875
0.659	1.00263759508	-0.00104904174805
0.66	1.03019496731	-0.0013542175293
0.661	1.11237498807	-0.0019645690918
0.662	1.09687396619	-0.00226974487305
0.663	0.998700827615	-0.0025749206543
0.664	1.00263759508	-0.00288009643555
0.665	1.0653798265	-0.0031852722168
0.666	1.08506366381	-0.00349044799805
0.667	0.955642433502	-0.00410079956055
0.668	0.947768898579	-0.0044059753418
0.669	1.03019496731	-0.00471115112305
0.67	0.885026667158	-0.00532150268555
0.671	0.869279597311	-0.00532150268555
0.672	0.900527689038	-0.0056266784668
0.673	0.80653736589	-0.00593185424805
0.674	0.778979993658	-0.00621795654297
0.675	0.802600598428	-0.00652313232422
0.676	0.704427459852	-0.00682830810547
0.677	0.688680390005	-0.00682830810547
0.678	0.622001391122	-0.00743865966797
0.679	0.606254321276	-0.00774383544922
0.68	0.539575322393	-0.00774383544922
0.681	0.539575322393	-0.00774383544922
0.682	0.461086021125	-0.00804901123047
0.683	0.410154092089	-0.00804901123047
0.684	0.359222163053	-0.00804901123047
0.685	0.304353466556	-0.00804901123047
0.686	0.257112257015	-0.00804901123047
0.687	0.202243560518	-0.00804901123047
0.688	0.155248398944	-0.00804901123047
0.689	0.104070421941	-0.00804901123047
0.69	0.0492017254437	-0.00804901123047
0.691	0.00220656386955	-0.00804901123047
0.692	-0.0489714131327	-0.00804901123047
0.693	-0.10384010963	-0.00774383544922
0.694	-0.146898503743	-0.00774383544922
0.695	-0.194139713283	-0.00713348388672
0.696	-0.237198107396	-0.00682830810547
0.697	-0.280256501508	-0.00682830810547
0.698	-0.319624176125	-0.00652313232422
0.699	-0.358745802776	-0.00621795654297
0.7	-0.398113477393	-0.00593185424805
0.701	-0.437235104044	-0.0056266784668
0.702	-0.468729243737	-0.00532150268555
0.703	-0.503914102927	-0.00471115112305
0.704	-0.53540824262	-0.0044059753418
0.705	-0.562965614852	-0.00410079956055
0.706	-0.582403404194	-0.0037956237793
0.707	-0.606024008965	-0.0031852722168
0.708	-0.621771078811	-0.0031852722168
0.709	-0.633581381197	-0.00288009643555
0.71	-0.649082403077	-0.0025749206543
0.711	-0.660892705462	-0.0019645690918
0.712	-0.660892705462	-0.00165939331055
0.713	-0.672703007847	-0.00104904174805
0.714	-0.676639775309	-0.000762939453125
0.715	-0.672703007847	-0.000457763671875
0.716	-0.664829472924	0.000152587890625
0.717	-0.660892705462	0.000457763671875
0.718	-0.653019170539	0.000457763671875
0.719	-0.64145491612	0.00106811523438
0.72	-0.629644613735	0.00167846679688
0.721	-0.609960776426	0.00198364257812
0.722	-0.590276939118	0.00228881835938
0.723	-0.566902382314	0.00228881835938
0.724	-0.539345010082	0.00289916992188
0.725	-0.51178763785	0.00320434570312
0.726	-0.476602778661	0.00350952148438
0.727	-0.441171871506	0.00381469726562
0.728	-0.405987012316	0.00411987304688
0.729	-0.366619337699	0.00411987304688
0.73	-0.33143447851	0.00442504882812
0.731	-0.288130036432	0.00471115112305
0.732	-0.237198107396	0.0050163269043
0.733	-0.205703967702	0.00532150268555
0.734	-0.174455875975	0.00532150268555
0.735	-0.08021950486	0.00532150268555
0.736	-0.0841562723217	0.0056266784668
0.737	0.00614333133126	0.0056266784668
0.738	0.010080098793	0.00593185424805
0.739	0.0688855627523	0.0056266784668
0.74	0.186496490671	0.0056266784668
0.741	0.155248398944	0.0056266784668
0.742	0.210117095441	0.0056266784668
0.743	0.288606396709	0.0056266784668
0.744	0.429837929398	0.00532150268555
0.745	0.35134862813	0.00532150268555
0.746	0.406217324628	0.00532150268555
0.747	0.484706625895	0.00532150268555
0.748	0.633811693508	0.00532150268555
0.749	0.551385624778	0.00471115112305
0.75	0.594690066857	0.00471115112305
0.751	0.645621995893	0.00442504882812
0.752	0.735921599546	0.00411987304688
0.753	0.873216364773	0.00411987304688
0.754	0.747485853964	0.00381469726562
0.755	0.794727063505	0.00320434570312
0.756	0.841722225079	0.00289916992188
0.757	0.92808506127	0.00289916992188
0.758	1.0653798265	0.00228881835938
0.759	0.9044644565	0.00198364257812
0.76	0.943832131117	0.00167846679688
0.761	0.982953757768	0.00106811523438
0.762	1.10081073365	0.000762939453125
0.763	1.07719012888	0.000457763671875
0.764	1.01838466492	0.000152587890625
0.765	1.04175922173	-0.000152587890625
0.766	1.08900043127	-0.000762939453125
0.767	1.20267459172	-0.00104904174805
0.768	1.03413173477	-0.00165939331055
0.769	1.04175922173	-0.0019645690918
0.77	1.06144305904	-0.00226974487305
0.771	1.15174266269	-0.00288009643555
0.772	1.01838466492	-0.00288009643555
0.773	1.00263759508	-0.00349044799805
0.774	1.00263759508	-0.00410079956055
0.775	1.09293719873	-0.0044059753418
0.776	0.939895363656	-0.00471115112305
0.777	0.92808506127	-0.0050163269043
0.778	0.932021828732	-0.00532150268555
0.779	0.994764060153	-0.0056266784668
0.78	0.845658992541	-0.00593185424805
0.781	0.829911922694	-0.00652313232422
0.782	0.865342829849	-0.00652313232422
0.783	0.735921599546	-0.00682830810547
0.784	0.743795134469	-0.00713348388672
0.785	0.657432298278	-0.00743865966797
0.786	0.645621995893	-0.00743865966797
0.787	0.571069462087	-0.00774383544922
0.788	0.571069462087	-0.00804901123047
0.789	0.492580160819	-0.00804901123047
0.79	0.437711464321	-0.00835418701172
0.791	0.382596719857	-0.00835418701172
0.792	0.331664790821	-0.00835418701172
0.793	0.280732861786	-0.00835418701172
0.794	0.22980093275	-0.00835418701172
0.795	0.178622955747	-0.00835418701172
0.796	0.12375425925	-0.00835418701172
0.797	0.072822330214	-0.00835418701172
0.798	0.01770758575	-0.00804901123047
0.799	-0.0371611107475	-0.00804901123047
0.8	-0.0841562723217	-0.00774383544922
0.801	-0.139024968819	-0.00774383544922
0.802	-0.18626617836	-0.00743865966797
0.803	-0.233261339934	-0.00713348388672
0.804	-0.276565782013	-0.00682830810547
0.805	-0.319624176125	-0.00652313232422
0.806	-0.366619337699	-0.00652313232422
0.807	-0.402050244855	-0.00621795654297
0.808	-0.441171871506	-0.0056266784668
0.809	-0.472666011199	-0.0056266784668
0.81	-0.51178763785	-0.00532150268555
0.811	-0.539345010082	-0.0050163269043
0.812	-0.566902382314	-0.0044059753418
0.813	-0.590276939118	-0.00410079956055
0.814	-0.613897543888	-0.00349044799805
0.815	-0.633581381197	-0.0031852722168
0.816	-0.649082403077	-0.00288009643555
0.817	-0.664829472924	-0.0025749206543
0.818	-0.680576542771	-0.0019645690918
0.819	-0.684513310232	-0.00165939331055
0.82	-0.692386845156	-0.0013542175293
0.821	-0.692386845156	-0.000762939453125
0.822	-0.692386845156	-0.000457763671875
0.823	-0.692386845156	-0.000152587890625
0.824	-0.684513310232	0.000152587890625
0.825	-0.676639775309	0.000457763671875
0.826	-0.664829472924	0.00106811523438
0.827	-0.649082403077	0.00137329101562
0.828	-0.629644613735	0.00167846679688
0.829	-0.609960776426	0.00198364257812
0.83	-0.586340171656	0.00259399414062
0.831	-0.562965614852	0.00289916992188
0.832	-0.53540824262	0.00320434570312
0.833	-0.503914102927	0.00350952148438
0.834	-0.464792476276	0.00381469726562
0.835	-0.433298336582	0.00411987304688
0.836	-0.394176709931	0.00442504882812
0.837	-0.354809035314	0.00442504882812
0.838	-0.311750641202	0.00471115112305
0.839	-0.268692247089	0.0050163269043
0.84	-0.225387805011	0.00532150268555
0.841	-0.146898503743	0.00532150268555
0.842	-0.142961736281	0.00532150268555
0.843	-0.0332243432858	0.0056266784668
0.844	-0.0489714131327	0.00593185424805
0.845	0.0216443532117	0.0062370300293
0.846	0.151311631482	0.0062370300293
0.847	0.104070421941	0.0062370300293
0.848	0.166812653362	0.00593185424805
0.849	0.288606396709	0.0062370300293
0.85	0.2689225594	0.0062370300293
0.851	0.308044186051	0.0062370300293
0.852	0.371032465438	0.0056266784668
